"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Democratic Republic of the Congo","2007","All genders","Not applicable","Number","3363"
"Democratic Republic of the Congo","2006","All genders","Not applicable","Number","3207"
"Democratic Republic of the Congo","2005","All genders","Not applicable","Number","3065"
"Democratic Republic of the Congo","2004","All genders","Not applicable","Number","2891"
"Democratic Republic of the Congo","2003","All genders","Not applicable","Number","4173"
"Democratic Republic of the Congo","2002","All genders","Not applicable","Number","4881"
"Democratic Republic of the Congo","2001","All genders","Not applicable","Number","4416"
"Democratic Republic of the Congo","2000","All genders","Not applicable","Number","4690"
"Democratic Republic of the Congo","1999","All genders","Not applicable","Number","4519"
"Democratic Republic of the Congo","1998","All genders","Not applicable","Number","4410"
"Denmark","2012","All genders","Not applicable","Number","5767"
"Denmark","2011","All genders","Not applicable","Number","6070"
"Denmark","2010","All genders","Not applicable","Number","5325"
"Denmark","2009","All genders","Not applicable","Number","5179"
"Denmark","2008","All genders","Not applicable","Number","4963"
"Denmark","2007","All genders","Not applicable","Number","5078"
"Denmark","2006","All genders","Not applicable","Number","5176"
"Denmark","2005","All genders","Not applicable","Number","5413"
"Denmark","2004","All genders","Not applicable","Number","5453"
"Denmark","2003","All genders","Not applicable","Number","6754"
"Denmark","2002","All genders","Not applicable","Number","6648"
"Denmark","2001","All genders","Not applicable","Number","6324"
"Denmark","2000","All genders","Not applicable","Number","6580"
"Denmark","1999","All genders","Not applicable","Number","6420"
"Denmark","1998","All genders","Not applicable","Number","6159"
"Djibouti","2012","All genders","Not applicable","Number","1676"
"Djibouti","2011","All genders","Not applicable","Number","1760"
"Djibouti","2010","All genders","Not applicable","Number","1711"
"Djibouti","2009","All genders","Not applicable","Number","1684"
"Djibouti","2008","All genders","Not applicable","Number","1435"
"Djibouti","2007","All genders","Not applicable","Number","1482"
"Djibouti","2006","All genders","Not applicable","Number","2428"
"Djibouti","2005","All genders","Not applicable","Number","2090"
"Djibouti","2004","All genders","Not applicable","Number","1832"
"Djibouti","2003","All genders","Not applicable","Number","1703"
"Djibouti","2002","All genders","Not applicable","Number","1558"
"Djibouti","2001","All genders","Not applicable","Number","1353"
"Djibouti","2000","All genders","Not applicable","Number","1211"
"Djibouti","1999","All genders","Not applicable","Number","1152"
"Djibouti","1998","All genders","Not applicable","Number","1145"
"Dominica","2012","All genders","Not applicable","Number","765"
"Dominica","2011","All genders","Not applicable","Number","743"
"Dominica","2010","All genders","Not applicable","Number","794"
"Dominica","2009","All genders","Not applicable","Number","784"
"Dominica","2008","All genders","Not applicable","Number","676"
"Dominica","2007","All genders","Not applicable","Number","723"
"Dominica","2006","All genders","Not applicable","Number","828"
"Dominica","2005","All genders","Not applicable","Number","808"
"Dominica","2004","All genders","Not applicable","Number","676"
"Dominica","2003","All genders","Not applicable","Number","760"
"Dominica","2002","All genders","Not applicable","Number","740"
"Dominica","2001","All genders","Not applicable","Number","717"
"Dominica","2000","All genders","Not applicable","Number","727"
"Dominica","1999","All genders","Not applicable","Number","518"
"Dominica","1998","All genders","Not applicable","Number","482"
"Dominican Republic","2012","All genders","Not applicable","Number","3452"
"Dominican Republic","2011","All genders","Not applicable","Number","3525"
"Dominican Republic","2010","All genders","Not applicable","Number","3389"
"Dominican Republic","2009","All genders","Not applicable","Number","2947"
"Dominican Republic","2008","All genders","Not applicable","Number","2384"
"Dominican Republic","2007","All genders","Not applicable","Number","2110"
"Dominican Republic","2006","All genders","Not applicable","Number","1945"
"Dominican Republic","2005","All genders","Not applicable","Number","1812"
"Dominican Republic","2004","All genders","Not applicable","Number","1805"
"Dominican Republic","2003","All genders","Not applicable","Number","2033"
"Dominican Republic","2002","All genders","Not applicable","Number","1692"
"Dominican Republic","2001","All genders","Not applicable","Number","1427"
"Dominican Republic","2000","All genders","Not applicable","Number","1202"
"Dominican Republic","1999","All genders","Not applicable","Number","1045"
"Dominican Republic","1998","All genders","Not applicable","Number","1030"
"Ecuador","2012","All genders","Not applicable","Number","10926"
"Ecuador","2011","All genders","Not applicable","Number","10713"
"Ecuador","2010","All genders","Not applicable","Number","10234"
"Ecuador","2009","All genders","Not applicable","Number","9486"
"Ecuador","2008","All genders","Not applicable","Number","8776"
"Ecuador","2007","All genders","Not applicable","Number","7307"
"Ecuador","2006","All genders","Not applicable","Number","5591"
"Ecuador","2005","All genders","Not applicable","Number","5368"
"Ecuador","2004","All genders","Not applicable","Number","4966"
"Ecuador","2003","All genders","Not applicable","Number","5354"
"Ecuador","2002","All genders","Not applicable","Number","4556"
"Ecuador","2001","All genders","Not applicable","Number","3534"
"Ecuador","2000","All genders","Not applicable","Number","3272"
"Ecuador","1999","All genders","Not applicable","Number","2992"
"Ecuador","1998","All genders","Not applicable","Number","2964"
"Egypt","2012","All genders","Not applicable","Number","16217"
"Egypt","2011","All genders","Not applicable","Number","14732"
"Egypt","2010","All genders","Not applicable","Number","14295"
"Egypt","2009","All genders","Not applicable","Number","12666"
"Egypt","2008","All genders","Not applicable","Number","12111"
"Egypt","2007","All genders","Not applicable","Number","10854"
"Egypt","2006","All genders","Not applicable","Number","9979"
"Egypt","2005","All genders","Not applicable","Number","9621"
"Egypt","2004","All genders","Not applicable","Number","9582"
"Egypt","2003","All genders","Not applicable","Number","9690"
"Egypt","2002","All genders","Not applicable","Number","9812"
"Egypt","2001","All genders","Not applicable","Number","9710"
"Egypt","2000","All genders","Not applicable","Number","8804"
"Egypt","1999","All genders","Not applicable","Number","8634"
"Egypt","1998","All genders","Not applicable","Number","8399"
"El Salvador","2012","All genders","Not applicable","Number","3008"
"El Salvador","2011","All genders","Not applicable","Number","2316"
"El Salvador","2010","All genders","Not applicable","Number","3164"
"El Salvador","2009","All genders","Not applicable","Number","3018"
"El Salvador","2008","All genders","Not applicable","Number","2714"
"El Salvador","2007","All genders","Not applicable","Number","2697"
"El Salvador","2006","All genders","Not applicable","Number","2314"
"El Salvador","2005","All genders","Not applicable","Number","2200"
"El Salvador","2004","All genders","Not applicable","Number","2115"
"El Salvador","2003","All genders","Not applicable","Number","2485"
"El Salvador","2002","All genders","Not applicable","Number","2145"
"El Salvador","2001","All genders","Not applicable","Number","1806"
"El Salvador","2000","All genders","Not applicable","Number","1693"
"El Salvador","1999","All genders","Not applicable","Number","1147"
"El Salvador","1998","All genders","Not applicable","Number","1160"
"Equatorial Guinea","2012","All genders","Not applicable","Number","1374"
"Equatorial Guinea","2011","All genders","Not applicable","Number","1282"
"Equatorial Guinea","2010","All genders","Not applicable","Number","1274"
"Equatorial Guinea","2009","All genders","Not applicable","Number","1980"
"Equatorial Guinea","2008","All genders","Not applicable","Number","1117"
"Equatorial Guinea","2007","All genders","Not applicable","Number","849"
"Equatorial Guinea","2006","All genders","Not applicable","Number","799"
"Equatorial Guinea","2005","All genders","Not applicable","Number","779"
"Equatorial Guinea","2004","All genders","Not applicable","Number","810"
"Equatorial Guinea","2003","All genders","Not applicable","Number","701"
"Equatorial Guinea","2002","All genders","Not applicable","Number","618"
"Equatorial Guinea","2001","All genders","Not applicable","Number","780"
"Equatorial Guinea","2000","All genders","Not applicable","Number","947"
"Equatorial Guinea","1999","All genders","Not applicable","Number","716"
"Equatorial Guinea","1998","All genders","Not applicable","Number","715"
"Eritrea","2012","All genders","Not applicable","Number","1284"
"Eritrea","2011","All genders","Not applicable","Number","1302"
"Eritrea","2010","All genders","Not applicable","Number","1049"
"Eritrea","2009","All genders","Not applicable","Number","858"
"Eritrea","2008","All genders","Not applicable","Number","934"
"Eritrea","2007","All genders","Not applicable","Number","896"
"Eritrea","2006","All genders","Not applicable","Number","866"
"Eritrea","2005","All genders","Not applicable","Number","897"
"Eritrea","2004","All genders","Not applicable","Number","831"
"Eritrea","2003","All genders","Not applicable","Number","916"
"Eritrea","2002","All genders","Not applicable","Number","1012"
"Eritrea","2001","All genders","Not applicable","Number","858"
"Eritrea","2000","All genders","Not applicable","Number","746"
"Eritrea","1999","All genders","Not applicable","Number","637"
"Eritrea","1998","All genders","Not applicable","Number","615"
"Estonia","2012","All genders","Not applicable","Number","4720"
"Estonia","2011","All genders","Not applicable","Number","4317"
"Estonia","2010","All genders","Not applicable","Number","4015"
"Estonia","2009","All genders","Not applicable","Number","3783"
"Estonia","2008","All genders","Not applicable","Number","3525"
"Estonia","2007","All genders","Not applicable","Number","3268"
"Estonia","2006","All genders","Not applicable","Number","3419"
"Estonia","2005","All genders","Not applicable","Number","3597"
"Estonia","2004","All genders","Not applicable","Number","3498"
"Estonia","2003","All genders","Not applicable","Number","4103"
"Estonia","2002","All genders","Not applicable","Number","3591"
"Estonia","2001","All genders","Not applicable","Number","3981"
"Estonia","2000","All genders","Not applicable","Number","3430"
"Estonia","1999","All genders","Not applicable","Number","3188"
"Estonia","1998","All genders","Not applicable","Number","3145"
"Ethiopia","2012","All genders","Not applicable","Number","6540"
"Ethiopia","2011","All genders","Not applicable","Number","6770"
"Ethiopia","2010","All genders","Not applicable","Number","5403"
"Ethiopia","2009","All genders","Not applicable","Number","5108"
"Ethiopia","2008","All genders","Not applicable","Number","4205"
"Ethiopia","2007","All genders","Not applicable","Number","3890"
"Ethiopia","2006","All genders","Not applicable","Number","3578"
"Ethiopia","2005","All genders","Not applicable","Number","3547"
"Ethiopia","2004","All genders","Not applicable","Number","3429"
"Ethiopia","2003","All genders","Not applicable","Number","3422"
"Ethiopia","2002","All genders","Not applicable","Number","3318"
"Ethiopia","2001","All genders","Not applicable","Number","3285"
"Ethiopia","2000","All genders","Not applicable","Number","3583"
"Ethiopia","1999","All genders","Not applicable","Number","3512"
"Ethiopia","1998","All genders","Not applicable","Number","3446"
"Fiji","2012","All genders","Not applicable","Number","1307"
"Fiji","2011","All genders","Not applicable","Number","1486"
"Fiji","2010","All genders","Not applicable","Number","1647"
"Fiji","2009","All genders","Not applicable","Number","1849"
"Fiji","2008","All genders","Not applicable","Number","1732"
"Fiji","2007","All genders","Not applicable","Number","1705"
"Fiji","2006","All genders","Not applicable","Number","1712"
"Fiji","2005","All genders","Not applicable","Number","1714"
"Fiji","2004","All genders","Not applicable","Number","1641"
"Fiji","2003","All genders","Not applicable","Number","1833"
"Fiji","2002","All genders","Not applicable","Number","1915"
"Fiji","2001","All genders","Not applicable","Number","1709"
"Fiji","2000","All genders","Not applicable","Number","1463"
"Fiji","1999","All genders","Not applicable","Number","1411"
"Fiji","1998","All genders","Not applicable","Number","1405"
"Finland","2012","All genders","Not applicable","Number","8212"
"Finland","2011","All genders","Not applicable","Number","7718"
"Finland","2010","All genders","Not applicable","Number","7379"
"Finland","2009","All genders","Not applicable","Number","7070"
"Finland","2008","All genders","Not applicable","Number","6486"
"Finland","2007","All genders","Not applicable","Number","6045"
"Finland","2006","All genders","Not applicable","Number","6083"
"Finland","2005","All genders","Not applicable","Number","5855"
"Finland","2004","All genders","Not applicable","Number","6063"
"Finland","2003","All genders","Not applicable","Number","10460"
"Finland","2002","All genders","Not applicable","Number","10296"
"Finland","2001","All genders","Not applicable","Number","10008"
"Finland","2000","All genders","Not applicable","Number","10235"
"Finland","1999","All genders","Not applicable","Number","9923"
"Finland","1998","All genders","Not applicable","Number","9473"
"France","2012","All genders","Not applicable","Number","62416"
"France","2011","All genders","Not applicable","Number","60116"
"France","2010","All genders","Not applicable","Number","57188"
"France","2009","All genders","Not applicable","Number","52962"
"France","2008","All genders","Not applicable","Number","46093"
"France","2007","All genders","Not applicable","Number","54630"
"France","2006","All genders","Not applicable","Number","53371"
"France","2005","All genders","Not applicable","Number","49177"
"France","2004","All genders","Not applicable","Number","46600"
"France","2003","All genders","Not applicable","Number","57387"
"France","2002","All genders","Not applicable","Number","55896"
"France","2001","All genders","Not applicable","Number","52653"
"France","2000","All genders","Not applicable","Number","50500"
"France","1999","All genders","Not applicable","Number","48351"
"France","1998","All genders","Not applicable","Number","46783"
"Gabon","2012","All genders","Not applicable","Number","6461"
"Gabon","2011","All genders","Not applicable","Number","6704"
"Gabon","2010","All genders","Not applicable","Number","6312"
"Gabon","2009","All genders","Not applicable","Number","5686"
"Gabon","2008","All genders","Not applicable","Number","5437"
"Gabon","2007","All genders","Not applicable","Number","4985"
"Gabon","2006","All genders","Not applicable","Number","4728"
"Gabon","2005","All genders","Not applicable","Number","4345"
"Gabon","2004","All genders","Not applicable","Number","4125"
"Gabon","2003","All genders","Not applicable","Number","4197"
"Gabon","2002","All genders","Not applicable","Number","3640"
"Gabon","2001","All genders","Not applicable","Number","3211"
"Gabon","2000","All genders","Not applicable","Number","3053"
"Gabon","1999","All genders","Not applicable","Number","2860"
"Gabon","1998","All genders","Not applicable","Number","2786"
"Gambia","2012","All genders","Not applicable","Number","1236"
"Gambia","2011","All genders","Not applicable","Number","1274"
"Gambia","2010","All genders","Not applicable","Number","1006"
"Gambia","2009","All genders","Not applicable","Number","1229"
"Gambia","2008","All genders","Not applicable","Number","1056"
"Gambia","2007","All genders","Not applicable","Number","1103"
"Gambia","2006","All genders","Not applicable","Number","1120"
"Gambia","2005","All genders","Not applicable","Number","1072"
"Gambia","2004","All genders","Not applicable","Number","1083"
"Gambia","2003","All genders","Not applicable","Number","996"
"Gambia","2002","All genders","Not applicable","Number","867"
"Gambia","2001","All genders","Not applicable","Number","876"
"Gambia","2000","All genders","Not applicable","Number","737"
"Gambia","1999","All genders","Not applicable","Number","794"
"Gambia","1998","All genders","Not applicable","Number","899"
"Georgia","2012","All genders","Not applicable","Number","8407"
"Georgia","2011","All genders","Not applicable","Number","8455"
"Georgia","2010","All genders","Not applicable","Number","8740"
"Georgia","2009","All genders","Not applicable","Number","8841"
"Georgia","2008","All genders","Not applicable","Number","8333"
"Georgia","2007","All genders","Not applicable","Number","8240"
"Georgia","2006","All genders","Not applicable","Number","7560"
"Georgia","2005","All genders","Not applicable","Number","7378"
"Georgia","2004","All genders","Not applicable","Number","6785"
"Georgia","2003","All genders","Not applicable","Number","6073"
"Georgia","2002","All genders","Not applicable","Number","5274"
"Georgia","2001","All genders","Not applicable","Number","4658"
"Georgia","2000","All genders","Not applicable","Number","4371"
"Georgia","1999","All genders","Not applicable","Number","3906"
"Georgia","1998","All genders","Not applicable","Number","3861"
"Germany","2012","All genders","Not applicable","Number","117576"
"Germany","2011","All genders","Not applicable","Number","113972"
"Germany","2010","All genders","Not applicable","Number","104902"
"Germany","2009","All genders","Not applicable","Number","92802"
"Germany","2008","All genders","Not applicable","Number","83072"
"Germany","2007","All genders","Not applicable","Number","78271"
"Germany","2006","All genders","Not applicable","Number","70799"
"Germany","2005","All genders","Not applicable","Number","64263"
"Germany","2004","All genders","Not applicable","Number","57614"
"Germany","2003","All genders","Not applicable","Number","63824"
"Germany","2002","All genders","Not applicable","Number","60888"
"Germany","2001","All genders","Not applicable","Number","56847"
"Germany","2000","All genders","Not applicable","Number","54733"
"Germany","1999","All genders","Not applicable","Number","53393"
"Germany","1998","All genders","Not applicable","Number","52123"
"Ghana","2012","All genders","Not applicable","Number","9103"
"Ghana","2011","All genders","Not applicable","Number","8813"
"Ghana","2010","All genders","Not applicable","Number","8042"
"Ghana","2009","All genders","Not applicable","Number","7763"
"Ghana","2008","All genders","Not applicable","Number","7695"
"Ghana","2007","All genders","Not applicable","Number","7654"
"Ghana","2006","All genders","Not applicable","Number","7927"
"Ghana","2005","All genders","Not applicable","Number","8316"
"Ghana","2004","All genders","Not applicable","Number","8110"
"Ghana","2003","All genders","Not applicable","Number","7003"
"Ghana","2002","All genders","Not applicable","Number","5921"
"Ghana","2001","All genders","Not applicable","Number","4896"
"Ghana","2000","All genders","Not applicable","Number","4625"
"Ghana","1999","All genders","Not applicable","Number","4190"
"Ghana","1998","All genders","Not applicable","Number","4055"
"Gibraltar","2012","All genders","Not applicable","Number","2637"
"Gibraltar","2011","All genders","Not applicable","Number","675"
"Gibraltar","2010","All genders","Not applicable","Number","668"
"Gibraltar","2009","All genders","Not applicable","Number","640"
"Gibraltar","2008","All genders","Not applicable","Number","648"
"Gibraltar","2007","All genders","Not applicable","Number","651"
"Gibraltar","2006","All genders","Not applicable","Number","645"
"Gibraltar","2005","All genders","Not applicable","Number","633"
"Gibraltar","2004","All genders","Not applicable","Number","698"
"Gibraltar","2003","All genders","Not applicable","Number","5"
"Gibraltar","2002","All genders","Not applicable","Number","2"
"Gibraltar","2001","All genders","Not applicable","Number","0"
"Gibraltar","2000","All genders","Not applicable","Number","0"
"Gibraltar","1999","All genders","Not applicable","Number","0"
"Greece","2012","All genders","Not applicable","Number","32360"
"Greece","2011","All genders","Not applicable","Number","29381"
"Greece","2010","All genders","Not applicable","Number","29201"
"Greece","2009","All genders","Not applicable","Number","28842"
"Greece","2008","All genders","Not applicable","Number","28572"
"Greece","2007","All genders","Not applicable","Number","31971"
"Greece","2006","All genders","Not applicable","Number","34442"
"Greece","2005","All genders","Not applicable","Number","41680"
"Greece","2004","All genders","Not applicable","Number","47349"
"Greece","2003","All genders","Not applicable","Number","50528"
"Greece","2002","All genders","Not applicable","Number","52607"
"Greece","2001","All genders","Not applicable","Number","61727"
"Greece","2000","All genders","Not applicable","Number","63673"
"Greece","1999","All genders","Not applicable","Number","66948"
"Greece","1998","All genders","Not applicable","Number","62056"
"Grenada","2012","All genders","Not applicable","Number","574"
"Grenada","2011","All genders","Not applicable","Number","523"
"Grenada","2010","All genders","Not applicable","Number","563"
"Grenada","2009","All genders","Not applicable","Number","612"
"Grenada","2008","All genders","Not applicable","Number","521"
"Grenada","2007","All genders","Not applicable","Number","563"
"Grenada","2006","All genders","Not applicable","Number","638"
"Grenada","2005","All genders","Not applicable","Number","466"
"Grenada","2004","All genders","Not applicable","Number","475"
"Grenada","2003","All genders","Not applicable","Number","533"
"Grenada","2002","All genders","Not applicable","Number","410"
"Grenada","2001","All genders","Not applicable","Number","446"
"Grenada","2000","All genders","Not applicable","Number","457"
"Grenada","1999","All genders","Not applicable","Number","325"
"Grenada","1998","All genders","Not applicable","Number","326"
"Guatemala","2012","All genders","Not applicable","Number","7032"
"Guatemala","2011","All genders","Not applicable","Number","6640"
"Guatemala","2010","All genders","Not applicable","Number","5579"
"Guatemala","2009","All genders","Not applicable","Number","3935"
"Guatemala","2008","All genders","Not applicable","Number","3827"
"Guatemala","2007","All genders","Not applicable","Number","3438"
"Guatemala","2006","All genders","Not applicable","Number","2916"
"Guatemala","2005","All genders","Not applicable","Number","2668"
"Guatemala","2004","All genders","Not applicable","Number","2373"
"Guatemala","2003","All genders","Not applicable","Number","2356"
"Guatemala","2002","All genders","Not applicable","Number","2227"
"Guatemala","2001","All genders","Not applicable","Number","1920"
"Guatemala","2000","All genders","Not applicable","Number","1440"
"Guatemala","1999","All genders","Not applicable","Number","1354"
"Guatemala","1998","All genders","Not applicable","Number","1357"
"Guinea","2012","All genders","Not applicable","Number","6056"
"Guinea","2011","All genders","Not applicable","Number","6119"
"Guinea","2010","All genders","Not applicable","Number","5615"
"Guinea","2009","All genders","Not applicable","Number","4532"
"Guinea","2008","All genders","Not applicable","Number","4451"
"Guinea","2007","All genders","Not applicable","Number","4137"
"Guinea","2006","All genders","Not applicable","Number","3784"
"Guinea","2005","All genders","Not applicable","Number","3079"
"Guinea","2004","All genders","Not applicable","Number","2765"
"Guinea","2003","All genders","Not applicable","Number","2961"
"Guinea","2002","All genders","Not applicable","Number","2295"
"Guinea","2001","All genders","Not applicable","Number","2171"
"Guinea","2000","All genders","Not applicable","Number","1946"
"Guinea","1999","All genders","Not applicable","Number","1754"
"Guinea","1998","All genders","Not applicable","Number","1813"
"Guinea-Bissau","2012","All genders","Not applicable","Number","1577"
"Guinea-Bissau","2011","All genders","Not applicable","Number","1540"
"Guinea-Bissau","2010","All genders","Not applicable","Number","1518"
"Guinea-Bissau","2009","All genders","Not applicable","Number","1339"
"Guinea-Bissau","2008","All genders","Not applicable","Number","1241"
"Guinea-Bissau","2007","All genders","Not applicable","Number","1131"
"Guinea-Bissau","2006","All genders","Not applicable","Number","896"
"Guinea-Bissau","2005","All genders","Not applicable","Number","753"
"Guinea-Bissau","2004","All genders","Not applicable","Number","746"
"Guinea-Bissau","2003","All genders","Not applicable","Number","718"
"Guinea-Bissau","2002","All genders","Not applicable","Number","593"
"Guinea-Bissau","2001","All genders","Not applicable","Number","744"
"Guinea-Bissau","2000","All genders","Not applicable","Number","743"
"Guinea-Bissau","1999","All genders","Not applicable","Number","738"
"Guinea-Bissau","1998","All genders","Not applicable","Number","738"
"Guyana","2012","All genders","Not applicable","Number","1559"
"Guyana","2011","All genders","Not applicable","Number","1655"
"Guyana","2010","All genders","Not applicable","Number","829"
"Guyana","2009","All genders","Not applicable","Number","1591"
"Guyana","2008","All genders","Not applicable","Number","1426"
"Guyana","2007","All genders","Not applicable","Number","1431"
"Guyana","2006","All genders","Not applicable","Number","1099"
"Guyana","2005","All genders","Not applicable","Number","1114"
"Guyana","2004","All genders","Not applicable","Number","1089"
"Guyana","2003","All genders","Not applicable","Number","1045"
"Guyana","2002","All genders","Not applicable","Number","665"
"Guyana","2001","All genders","Not applicable","Number","642"
"Guyana","2000","All genders","Not applicable","Number","740"
"Guyana","1999","All genders","Not applicable","Number","662"
"Guyana","1998","All genders","Not applicable","Number","653"
"Haiti","2012","All genders","Not applicable","Number","3907"
"Haiti","2011","All genders","Not applicable","Number","4141"
"Haiti","2010","All genders","Not applicable","Number","3741"
"Haiti","2009","All genders","Not applicable","Number","3539"
"Haiti","2008","All genders","Not applicable","Number","4136"
"Haiti","2007","All genders","Not applicable","Number","4479"
"Haiti","2006","All genders","Not applicable","Number","4232"
"Haiti","2005","All genders","Not applicable","Number","3240"
"Haiti","2004","All genders","Not applicable","Number","2995"
"Haiti","2003","All genders","Not applicable","Number","2875"
"Haiti","2002","All genders","Not applicable","Number","2650"
"Haiti","2001","All genders","Not applicable","Number","2313"
"Haiti","2000","All genders","Not applicable","Number","1642"
"Haiti","1999","All genders","Not applicable","Number","1692"
"Haiti","1998","All genders","Not applicable","Number","1659"
"Holy See","2012","All genders","Not applicable","Number","29"
"Holy See","2011","All genders","Not applicable","Number","21"
"Holy See","2010","All genders","Not applicable","Number","23"
"Holy See","2009","All genders","Not applicable","Number","24"
"Holy See","2008","All genders","Not applicable","Number","20"
"Holy See","2007","All genders","Not applicable","Number","17"
"Holy See","2006","All genders","Not applicable","Number","23"
"Holy See","2005","All genders","Not applicable","Number","22"
"Holy See","2004","All genders","Not applicable","Number","33"
"Holy See","2003","All genders","Not applicable","Number","118"
"Holy See","2002","All genders","Not applicable","Number","25"
"Holy See","2001","All genders","Not applicable","Number","18"
"Holy See","2000","All genders","Not applicable","Number","17"
"Holy See","1999","All genders","Not applicable","Number","17"
"Holy See","1998","All genders","Not applicable","Number","20"
"Honduras","2012","All genders","Not applicable","Number","3086"
"Honduras","2011","All genders","Not applicable","Number","2230"
"Honduras","2010","All genders","Not applicable","Number","2932"
"Honduras","2009","All genders","Not applicable","Number","2679"
"Honduras","2008","All genders","Not applicable","Number","2540"
"Honduras","2007","All genders","Not applicable","Number","2554"
"Honduras","2006","All genders","Not applicable","Number","2075"
"Honduras","2005","All genders","Not applicable","Number","2285"
"Honduras","2004","All genders","Not applicable","Number","2042"
"Honduras","2003","All genders","Not applicable","Number","1928"
"Honduras","2002","All genders","Not applicable","Number","1867"
"Honduras","2001","All genders","Not applicable","Number","1661"
"Honduras","2000","All genders","Not applicable","Number","1753"
"Honduras","1999","All genders","Not applicable","Number","1117"
"Honduras","1998","All genders","Not applicable","Number","1113"
"Hong Kong Special Administrative Region of China","2012","All genders","Not applicable","Number","30827"
"Hong Kong Special Administrative Region of China","2011","All genders","Not applicable","Number","31284"
"Hong Kong Special Administrative Region of China","2010","All genders","Not applicable","Number","32765"
"Hong Kong Special Administrative Region of China","2009","All genders","Not applicable","Number","33127"
"Hong Kong Special Administrative Region of China","2008","All genders","Not applicable","Number","33614"
"Hong Kong Special Administrative Region of China","2007","All genders","Not applicable","Number","33124"
"Hong Kong Special Administrative Region of China","2006","All genders","Not applicable","Number","31405"
"Hong Kong Special Administrative Region of China","2005","All genders","Not applicable","Number","33890"
"Hong Kong Special Administrative Region of China","2004","All genders","Not applicable","Number","33760"
"Hong Kong Special Administrative Region of China","2003","All genders","Not applicable","Number","34812"
"Hong Kong Special Administrative Region of China","2002","All genders","Not applicable","Number","31508"
"Hong Kong Special Administrative Region of China","2001","All genders","Not applicable","Number","27846"
"Hong Kong Special Administrative Region of China","2000","All genders","Not applicable","Number","25345"
"Hong Kong Special Administrative Region of China","1999","All genders","Not applicable","Number","33623"
"Hong Kong Special Administrative Region of China","1998","All genders","Not applicable","Number","31870"
"Hungary","2012","All genders","Not applicable","Number","7886"
"Hungary","2011","All genders","Not applicable","Number","8184"
"Hungary","2010","All genders","Not applicable","Number","8118"
"Hungary","2009","All genders","Not applicable","Number","7550"
"Hungary","2008","All genders","Not applicable","Number","7052"
"Hungary","2007","All genders","Not applicable","Number","7239"
"Hungary","2006","All genders","Not applicable","Number","7158"
"Hungary","2005","All genders","Not applicable","Number","7634"
"Hungary","2004","All genders","Not applicable","Number","7580"
"Hungary","2003","All genders","Not applicable","Number","8303"
"Hungary","2002","All genders","Not applicable","Number","7965"
"Hungary","2001","All genders","Not applicable","Number","7428"
"Hungary","2000","All genders","Not applicable","Number","7013"
"Hungary","1999","All genders","Not applicable","Number","6519"
"Hungary","1998","All genders","Not applicable","Number","6712"
"Iceland","2012","All genders","Not applicable","Number","2745"
"Iceland","2011","All genders","Not applicable","Number","2701"
"Iceland","2010","All genders","Not applicable","Number","2799"
"Iceland","2009","All genders","Not applicable","Number","2636"
"Iceland","2008","All genders","Not applicable","Number","2392"
"Iceland","2007","All genders","Not applicable","Number","2491"
"Iceland","2006","All genders","Not applicable","Number","2433"
"Iceland","2005","All genders","Not applicable","Number","2336"
"Iceland","2004","All genders","Not applicable","Number","2239"
"Iceland","2003","All genders","Not applicable","Number","3014"
"Iceland","2002","All genders","Not applicable","Number","2990"
"Iceland","2001","All genders","Not applicable","Number","2471"
"Iceland","2000","All genders","Not applicable","Number","2466"
"Iceland","1999","All genders","Not applicable","Number","2436"
"Iceland","1998","All genders","Not applicable","Number","2402"
"India","2012","All genders","Not applicable","Number","189472"
"India","2011","All genders","Not applicable","Number","204249"
"India","2010","All genders","Not applicable","Number","209018"
"India","2009","All genders","Not applicable","Number","203497"
"India","2008","All genders","Not applicable","Number","183910"
"India","2007","All genders","Not applicable","Number","161741"
"India","2006","All genders","Not applicable","Number","145773"
"India","2005","All genders","Not applicable","Number","146267"
"India","2004","All genders","Not applicable","Number","134082"
"India","2003","All genders","Not applicable","Number","119158"
"India","2002","All genders","Not applicable","Number","100522"
"India","2001","All genders","Not applicable","Number","74502"
"India","2000","All genders","Not applicable","Number","62576"
"India","1999","All genders","Not applicable","Number","55670"
"India","1998","All genders","Not applicable","Number","54618"
"Indonesia","2012","All genders","Not applicable","Number","34999"
"Indonesia","2011","All genders","Not applicable","Number","33888"
"Indonesia","2010","All genders","Not applicable","Number","34507"
"Indonesia","2009","All genders","Not applicable","Number","33806"
"Indonesia","2008","All genders","Not applicable","Number","32343"
"Indonesia","2007","All genders","Not applicable","Number","31082"
"Indonesia","2006","All genders","Not applicable","Number","28384"
"Indonesia","2005","All genders","Not applicable","Number","30091"
"Indonesia","2004","All genders","Not applicable","Number","31410"
"Indonesia","2003","All genders","Not applicable","Number","37046"
"Indonesia","2002","All genders","Not applicable","Number","36995"
"Indonesia","2001","All genders","Not applicable","Number","33463"
"Indonesia","2000","All genders","Not applicable","Number","32114"
"Indonesia","1999","All genders","Not applicable","Number","27285"
"Indonesia","1998","All genders","Not applicable","Number","25633"
"Iran, Islamic Republic of","2012","All genders","Not applicable","Number","51549"
"Iran, Islamic Republic of","2011","All genders","Not applicable","Number","49552"
"Iran, Islamic Republic of","2010","All genders","Not applicable","Number","44144"
